Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
20200830,AK,6086,1425,209,,145,816,219,171,181,2920,357,2162,3567,37,15,0,,3,13,5,0,0,1,0,36,1
20200830,AL,125235,37708,30604,,454,,,,7255,49224,7033,55665,62546,2162,1101,837,,6,,,,46,171,61,1752,348
20200830,AR,60856,33660,13549,,814,186,2366,,5195,5086,13227,47629,0,784,495,189,,11,3,39,,45,2,62,720,2
20200830,AS,,,,,,,,,,,,,,,,,,,,,,,,,,
20200830,AZ,201661,46718,6016,60796,1834,11917,,,5929,68451,60796,72414,68451,5030,1845,157,1514,56,541,,,83,592,1514,2924,592
20200830,CA,699909,78587,19874,279244,25300,1156,2624,4243,54940,233941,279244,186724,233941,12905,3702,975,6076,1486,40,53,77,145,351,6076,6478,351
20200830,CO,57223,20880,2706,21813,1144,314,223,761,463,8915,21813,26491,,1843,1156,120,421,58,13,5,25,7,33,421,1384,33
20200830,CT,52495,18342,6947,10133,760,51,,180,346,15736,10133,26626,15736,4465,3263,659,396,48,2,,35,21,41,396,4028,41
20200830,DC,13959,2969,7177,,216,33,38,,3264,262,3643,9041,1275,606,64,451,77,8,,,,6,0,77,529,0
20200830,DE,17343,6102,4512,4254,231,,,,799,1445,4254,11644,1445,604,369,155,44,1,,,,9,26,44,534,26
20200830,FL,621586,144928,91537,176458,,,,,38736,169927,176458,233278,211850,11263,5337,2101,2736,,,,,467,622,2736,7276,1251
20200830,GA,268973,71986,69050,34255,3745,161,279,,7403,82094,34255,125482,109236,5604,2679,2373,337,101,6,7,,21,80,337,5165,102
20200830,GU,1347,192,,,242,,461,,117,335,,,,10,,,,,,,,,10,,,10
20200830,HI,8339,536,53,,1367,,1518,,154,4711,,,,63,,,,,,,,,63,,,
20200830,IA,65049,43796,4508,,2576,644,644,,1288,11593,10304,43152,11593,1112,908,41,,25,5,12,,5,114,67,921,122
20200830,ID,31867,15318,329,,233,370,87,1115,3386,11029,5752,11125,14989,359,337,4,,2,2,,,5,9,44,307,8
20200830,IL,235057,62559,35097,64580,5565,312,465,,8643,57836,64580,112641,57836,8228,3672,2146,1625,371,11,9,,53,341,1625,6262,132
20200830,IN,93313,46997,9770,,1059,,,,13803,21684,8801,34084,50428,3291,1980,426,,17,,,,408,460,66,1580,1645
20200830,KS,41048,26895,3129,,1206,290,,,2293,7235,11924,19712,9412,443,318,70,,11,4,,,22,18,67,350,26
20200830,KY,48032,24690,4018,,516,131,50,1839,,16788,3734,27183,17115,930,703,116,,10,0,,20,,81,30,788,112
20200830,LA,148568,53757,53969,,7122,385,173,,12974,20188,,,148568,4931,2383,2226,,31,4,6,,23,258,145,4414,372
20200830,MA,128229,40221,11730,26520,2685,,,,7391,39682,26520,62027,39682,9049,6824,747,625,228,,,,569,56,625,8368,56
20200830,MD,107791,24510,34463,25848,2015,,,,4721,16234,25848,65709,16234,3752,1593,1541,429,139,,,,39,11,429,3312,11
20200830,ME,4512,2880,934,,109,10,2,19,135,423,190,3606,716,132,117,4,,0,0,0,0,0,11,0,111,21
20200830,MI,112526,50813,25476,,2106,482,,7605,6931,19113,8161,68351,36014,6748,3602,2612,,86,20,,103,129,196,129,5437,1182
20200830,MN,75189,32638,14921,,4236,613,119,951,1313,0,13151,54791,0,1865,1399,179,,83,33,2,11,7,49,86,1714,49
20200830,MO,83655,28443,11712,,,,,2510,2510,38480,6750,47398,29287,1508,885,459,,,,,13,57,94,52,1275,179
20200830,MP,56,,,,,,,,,56,,,,2,,,,,,,,,2,,,
20200830,MS,82676,27047,33362,2452,280,1247,,,5314,12974,2452,49866,30358,2441,1083,1150,35,4,84,,,34,51,35,2088,318
20200830,MT,7340,3944,43,,26,1184,,,74,2069,280,4847,2213,104,54,,,,25,,,,25,,,
20200830,NC,166127,71976,30056,,2309,1960,271,,20125,39430,40459,69287,56381,2692,1510,785,,33,35,4,,182,143,257,2146,289
20200830,ND,11702,5939,962,,224,722,,204,29,3622,,,11702,118,,,,,,,,,118,,,118
20200830,NE,34046,21400,2100,,1400,344,52,,1800,6950,11000,15000,8046,392,306,28,,18,10,0,,12,18,86,260,46
20200830,NH,7254,4705,357,873,193,,,,253,873,873,5508,873,432,396,9,12,4,,,,2,9,12,411,9
20200830,NJ,191611,44163,20265,36948,6129,,,,13663,70443,36948,84220,70443,15937,8508,2826,3147,867,,,,287,302,3147,12488,302
20200830,NM,25283,3572,447,11068,159,8153,,,,1884,11068,12331,1884,770,173,7,159,2,404,,,,25,159,586,25
20200830,NV,68908,13650,4029,19710,3530,236,,,6791,20962,19710,28236,20962,1302,441,103,193,105,8,,,10,442,193,667,442
20200830,NY,434100,,,,,,,,,434100,,,,28522,8735,6422,6749,1707,,,,1838,3071,6749,18702,3071
20200830,OH,122262,64849,27694,,3102,165,178,3627,7902,14745,7671,86986,27605,4128,3200,771,,42,3,1,55,24,32,92,3982,54
20200830,OK,58020,31968,4117,,2191,5505,,,2317,11922,10894,32169,14957,799,581,48,,19,74,,,28,49,54,635,110
20200830,OR,26554,10416,898,,730,629,505,494,9115,3767,10438,12401,3715,458,296,11,,18,10,7,5,40,71,53,313,92
20200830,PA,133504,47191,18221,,1957,,,,2073,64062,11121,32763,89620,7673,5520,1608,,162,,,,365,18,453,7202,18
20200830,PR,32848,,,,,,,,,32848,,,,434,,,,,,,,,434,,,
20200830,RI,21683,5887,1938,7574,,,,,623,5661,7574,8448,5661,1046,685,53,96,,,,,14,198,96,752,198
20200830,SC,118324,42039,32132,,1067,,,,7823,35263,9799,58448,50077,2709,1267,968,,18,,,,73,383,93,1943,673
20200830,SD,13322,7023,1135,1377,751,1773,,,1263,0,1377,11945,0,167,101,2,5,5,39,,,15,0,5,162,0
20200830,TN,153115,76504,29368,,1331,204,112,,19881,25715,22416,94888,35811,1747,1093,527,,16,4,2,,90,15,124,1608,15
20200830,TX,610354,13640,7654,19034,753,,,,213,569060,19034,22260,569060,12510,3800,1462,6917,254,,,,73,4,6917,5589,4
20200830,UT,51854,21940,1193,18868,1212,1049,2231,,6047,5554,18868,27432,5554,407,207,7,91,22,33,21,,34,22,91,294,22
20200830,VA,119747,30565,23655,30566,3500,143,,680,2919,27719,30566,61462,27719,2569,1376,654,274,128,5,,3,44,85,274,2210,85
20200830,VI,1134,,,,,,,,,1134,,,,14,,,,,,,,,14,,,
20200830,VT,1616,1336,174,,58,2,,,37,9,58,1553,5,58,55,,,2,,,,1,0,0,58,0
20200830,WA,74320,19582,3063,22059,2502,831,1290,1344,1092,22557,22059,29704,22557,1905,1264,63,265,144,48,30,22,39,30,265,1610,30
20200830,WI,80300,52081,10214,,2181,779,,,7154,7891,16800,52537,10963,1130,820,224,,31,13,,,26,16,136,972,22
20200830,WV,10110,8118,733,,,,1,,1258,0,,,,213,58,3,,,,,,,152,,,
20200830,WY,3820,1969,38,509,25,451,12,,175,737,509,2670,737,37,15,1,2,0,14,,,0,5,2,29,5
20200826,AK,5719,1360,200,,140,725,205,158,167,2764,346,2030,3343,37,15,0,,3,13,5,0,0,1,0,36,1
20200826,AL,119254,36070,29948,,437,,,,5976,46831,6906,53764,58571,2045,1043,799,,6,,,,43,153,58,1668,318
20200826,AR,58023,32047,13087,,791,179,2349,,4584,4986,12865,45158,0,732,456,178,,10,3,39,,44,2,58,672,2
20200826,AS,,,,,,,,,,,,,,,,,,,,,,,,,,
20200826,AZ,199459,45650,5883,59286,1789,11715,,,5855,69281,59286,70892,69281,4896,1845,149,1479,55,531,,,83,586,1479,2831,586
20200826,CA,679099,75578,19168,266430,24252,1075,2548,3949,54653,231446,266430,181223,231446,12407,3549,945,5786,1421,38,54,76,134,404,5786,6217,404
20200826,CO,55993,20611,2682,21456,1136,313,223,750,459,8365,21456,26174,,1835,1150,120,420,58,13,5,25,7,33,420,1378,33
20200826,CT,52220,18236,6902,10032,746,51,,180,342,15731,10032,26457,15731,4463,3265,658,395,48,48,,34,20,41,395,4027,41
20200826,DC,13722,2905,7066,,213,33,38,,3233,234,3599,8879,1244,605,64,450,77,8,,,,6,0,77,528,0
20200826,DE,16986,5930,4433,4190,226,,,,797,1410,4190,11386,1410,604,369,155,44,1,,,,9,26,44,534,26
20200826,FL,608722,140347,89351,171699,,,,,37447,169878,171699,225742,211281,10872,5142,2044,2643,,,,,447,596,2643,7027,1202
20200826,GA,260590,67498,67041,33039,3545,154,263,,7207,81843,33039,119371,108180,5311,2523,2283,323,98,5,7,,16,56,323,4907,81
20200826,GU,1120,164,,,220,,429,,108,199,,,,9,,,,,,,,,9,,,9
20200826,HI,7260,467,51,,1146,,1416,,134,4046,,,,51,,,,,,,,,51,,,
20200826,IA,59244,39889,4106,,2346,586,586,,1173,10558,9972,38716,9972,1071,872,41,,24,5,11,,5,109,65,887,118
20200826,ID,33004,14766,322,,227,346,84,1089,3305,12865,5519,10719,16765,337,319,4,,2,2,,,5,5,39,294,4
20200826,IL,227044,59651,34503,63082,5451,306,459,,8375,55217,63082,108745,55217,8163,3628,2132,1622,369,11,9,,52,340,1622,6201,131
20200826,IN,89359,44878,9591,,1036,,,,13374,20480,8558,32333,48468,3259,1962,424,,17,,,,408,448,65,1564,1630
20200826,KS,39937,26112,3055,,1181,288,,,2229,7072,11751,19031,"9,155",437,313,70,,11,4,,,22,17,66,346,25
20200826,KY,45230,24647,3852,,516,127,49,1752,,14287,3734,25647,"15,849",902,683,112,,10,0,,20,,77,30,766,106
20200826,LA,144960,53757,53969,,7122,385,173,,12974,16580,,,"144,960",4851,2383,2226,,31,4,6,,23,178,145,4414,292
20200826,MA,126756,39744,11624,26002,2658,,,,7222,39506,26002,61248,39506,8987,6780,741,620,227,,,,563,56,620,8311,56
20200826,MD,105486,23731,33753,25497,1946,,,,4627,15932,25497,64057,15932,3717,1580,1518,423,138,,,,39,19,423,3275,19
20200826,ME,4389,2796,925,,107,9,2,20,135,395,185,3531,673,132,117,4,,0,0,0,0,0,11,0,111,21
20200826,MI,109480,48650,25202,,2041,462,,7381,6682,19062,7936,65472,36072,6690,3532,2593,,82,19,,103,128,233,128,5331,1231
20200826,MN,71236,30275,14465,,4127,582,115,913,1297,0,12738,51774,0,1842,1384,174,,78,33,2,10,9,49,83,1690,49
20200826,MO,78062,28102,11709,,,,,2342,2342,33567,6244,44495,26541,1449,870,459,,,,,13,55,52,52,1225,169
20200826,MP,54,,,,,,,,,54,,,,2,,,,,,,,,2,,,
20200826,MS,80110,26042,32815,2423,271,1244,,,5310,12005,2423,48684,29003,2373,1056,1125,34,4,84,,,33,37,34,2041,298
20200826,MT,6785,3804,41,,26,1074,,,71,1769,272,4599,1914,98,54,,,,25,,,,19,,,
20200826,NC,158985,68434,28857,,2179,1824,270,,19025,38396,39534,66254,53197,2606,1457,765,,33,34,4,,173,140,248,2080,278
20200826,ND,10467,5166,930,,215,661,,194,25,3276,,,10467,117,,,,,,,,,117,,,117
20200826,NE,32727,20600,2000,,1400,335,50,,1800,6542,10900,14300,7527,386,298,27,,18,10,0,,12,21,84,252,50
20200826,NH,7159,4693,356,863,193,,,,249,805,863,5491,805,430,395,9,12,4,,,,2,8,12,410,8
20200826,NJ,190306,44121,20130,36624,6060,,,,13439,69932,36624,83750,69932,15914,8495,2829,3152,870,,,,288,280,3152,12482,280
20200826,NM,24732,3492,442,10723,158,8087,,,,1830,10723,12179,1830,755,173,7,159,2,404,,,,10,159,586,10
20200826,NV,66666,13169,3831,18475,3333,213,,,6873,20772,18475,27419,20772,1250,426,100,185,104,8,,,10,417,185,648,417
20200826,NY,431340,,,,,,,,,431340,,,,28495,8723,6418,6746,1702,,,,1842,3064,6746,18685,3064
20200826,OH,117584,62085,27292,,3007,157,176,3461,7556,13850,7450,84115,26019,4044,3140,764,,42,2,1,52,21,22,90,3921,33
20200826,OK,54838,30093,3898,,2103,5136,,,2180,11428,10052,29257,15529,763,556,46,,19,69,,,26,47,53,581,129
20200826,OR,25571,10215,885,,723,620,501,485,8943,3199,10231,12195,3145,433,290,10,,18,10,7,5,38,55,50,310,73
20200826,PA,130536,45941,17963,,1901,,,,1921,62810,10857,31994,87685,7624,5440,1593,,162,,,,363,66,447,7111,66
20200826,PR,30744,,,,,,,,,30744,,,,404,,,,,,,,,404,,,
20200826,RI,21454,5887,1938,7574,,,,,623,5432,7574,8448,5432,1041,685,53,96,,,,,14,193,96,752,193
20200826,SC,114093,38943,30093,,885,,,,7080,36205,9393,54482,50216,2573,1206,904,,23,,,,69,392,89,1840,665
20200826,SD,11571,5724,1085,1328,747,1659,,,1028,0,1328,10243,0,162,99,2,5,5,37,,,14,0,5,157,0
20200826,TN,147353,72663,28500,,1276,200,103,,19589,25022,21870,90825,34658,1648,1004,496,,15,4,2,,92,35,117,1475,56
20200826,TX,592137,13303,7522,18750,745,,,,208,551609,18750,21778,551609,11805,3614,1406,6464,248,,,,69,4,6464,5337,4
20200826,UT,50174,21047,1171,18433,1167,1034,2156,,5897,5351,18433,26390,5351,401,204,7,88,22,33,21,,32,22,88,291,22
20200826,VA,115458,28923,22735,29913,3377,140,,634,2791,26945,29913,58600,26945,2515,1352,633,266,126,4,,3,45,86,266,2163,86
20200826,VI,1030,,,,,,,,,1030,,,,14,,,,,,,,,14,,,
20200826,VT,1577,1303,173,,55,2,,,36,8,58,1514,5,58,55,,,2,,,,1,0,0,58,0
20200826,WA,72161,18955,2993,21525,2442,829,1252,1321,1084,21760,21525,28876,21760,1880,1253,61,261,143,47,30,22,38,25,261,1594,25
20200826,WI,77092,49682,10083,,2113,744,,,6901,7569,16435,50265,10392,1108,802,223,,31,13,,,23,16,131,956,21
20200826,WV,9540,7724,723,,,,,,799,294,,,,190,58,3,,,,,,,129,,,
20200826,WY,3684,1906,37,495,21,438,12,,169,702,495,2583,702,37,15,1,2,0,14,,,0,5,2,29,5
20200823,AK,5558,1335,194,,135,696,201,152,164,2681,340,1982,3236,32,13,0,,2,10,4,0,0,3,0,29,3
20200823,AL,115060,35362,29593,,429,,,,5912,43774,6836,52801,55422,2013,1034,792,,5,,,,43,139,57,1652,304
20200823,AR,56574,31138,12721,,781,174,2343,,4530,4887,12675,43899,0,687,424,171,,9,3,38,,39,3,54,630,3
20200823,AS,,,,,,,,,,,,,,,,,,,,,,,,,,
20200823,AZ,198103,45359,5828,58740,1762,11641,,,5793,68980,58740,70383,68980,4771,1845,146,1427,52,522,,,82,569,1427,2775,569
20200823,CA,663669,73561,18651,260163,23584,1041,2498,3843,53280,227048,260163,176458,227048,12134,3466,935,5653,1394,37,53,74,139,383,5653,6098,383
20200823,CO,55143,20292,2652,21163,1124,308,220,738,457,8183,21163,25791,,1815,1136,119,414,57,13,5,25,8,34,414,1363,34
20200823,CT,51519,18072,6808,9868,735,50,,174,322,15490,9868,26161,15490,4460,3263,659,393,48,2,,34,20,41,393,4026,41
20200823,DC,13590,2660,6804,,201,30,36,,3563,296,3380,8227,1983,604,64,449,77,8,,,,6,0,77,527,0
20200823,DE,16895,5874,4389,4176,226,,,,796,1434,4176,11285,1434,600,365,155,45,1,,,,8,26,45,529,26
20200823,FL,600571,137155,87804,168086,,,,,36607,170919,168086,220192,212293,10462,4923,1979,2543,,,,,438,579,2543,6739,1180
20200823,GA,253949,64336,64728,31945,3361,138,257,,6910,82274,31945,114547,107457,5132,2433,2206,319,91,4,7,,25,47,319,4732,81
20200823,GU,820,123,,,179,,306,,61,151,,,,7,,,,,,,,,7,,,7
20200823,HI,6600,381,35,,912,,1136,,103,4033,,,,47,,,,,,,,,47,,,
20200823,IA,56329,38305,3943,,2253,563,563,,563,10139,9576,37179,9576,1036,842,41,,24,4,12,,4,104,64,859,111
20200823,ID,29853,14260,313,,216,307,81,1066,3219,10391,5296,10364,14192,307,288,4,,2,2,,,5,6,35,267,5
20200823,IL,221595,57596,34022,62056,5355,304,454,,8214,53594,62056,105945,53594,8089,3579,2118,1613,368,11,9,,52,339,1613,6137,130
20200823,IN,85932,43187,9412,,1006,,,,13076,19251,8386,31062,46484,3220,1945,418,,17,,,,403,437,64,1546,1610
20200823,KS,36856,24209,2827,,1122,265,,,2047,6386,11249,17347,8260,419,303,69,,11,3,,,18,15,62,335,22
20200823,KY,43529,23431,3705,,516,121,44,1666,,14046,3569,24446,15514,881,667,112,,11,0,,20,,71,30,743,108
20200823,LA,142943,50666,52296,,6796,362,162,,12485,20176,,,142943,4746,2249,2143,,31,4,7,,20,292,119,4203,424
20200823,MA,125360,39331,11542,25553,2636,,,,7101,39197,25553,60610,39197,8921,6728,737,615,226,,,,554,61,615,8245,61
20200823,MD,104102,23333,33320,25276,1912,,,,4550,15711,25276,63115,15711,3691,1572,1508,422,137,,,,38,14,422,3255,14
20200823,ME,4335,2732,922,,108,8,2,32,135,396,184,3491,660,131,114,4,,0,0,0,0,0,13,0,108,23
20200823,MI,106808,47110,24935,,1985,446,,7162,6488,18682,8544,70493,27770,6659,3508,2591,,81,19,,100,128,232,133,5526,932
20200823,MN,69584,29301,14205,,4055,558,114,884,1270,0,12549,50387,0,1813,1364,173,,77,32,2,10,9,46,83,1667,46
20200823,MO,75075,27778,12012,,,,,2252,3003,30030,6006,42792,25525,1426,855,452,,,,,12,52,55,51,1206,168
20200823,MP,54,,,,,,,,,54,,,,2,,,,,,,,,2,,,
20200823,MS,77268,25014,31923,2357,259,1232,,,5276,11833,2357,47263,28274,2237,988,1067,33,3,83,,,30,36,33,1925,282
20200823,MT,6429,3724,40,,26,1023,,,67,1549,269,4480,1680,90,35,,,,18,,,,37,,,
